iter	Passed	Remaining
668	108148	53508
669	108298	53341
670	108470	53184
671	108637	53025
672	108795	52862
673	108960	52702
674	109112	52535
675	109263	52368
676	109440	52214
677	109603	52053
678	109759	51889
679	109906	51720
680	110063	51556
681	110240	51402
682	110403	51241
683	110583	51088
684	110742	50925
685	110923	50772
686	111074	50605
687	111236	50444
688	111390	50279
689	111546	50115
690	111690	49945
691	111846	49781
692	112005	49618
693	112162	49454
694	112333	49297
695	112485	49131
696	112651	48971
697	112818	48812
698	112977	48649
699	113128	48483
700	113299	48326
701	113473	48169
702	113644	48012
703	113804	47849
704	113969	47689
705	114127	47526
706	114273	47357
707	114426	47192
708	114605	47038
709	114752	46870
710	114920	46711
711	115071	46545
712	115219	46378
713	115375	46214
714	115543	46055
715	115699	45891
716	115854	45727
717	116024	45569
718	116174	45403
719	116331	45239
720	116493	45078
721	116661	44919
722	116844	44766
723	116997	44601
724	117144	44434
725	117299	44270
726	117465	44110
727	117611	43942
728	117778	43783
729	117935	43619
730	118096	43458
731	118255	43295
732	118410	43131
733	118575	42971
734	118734	42809
735	118881	42642
736	119040	42480
737	119185	42312
738	119335	42146
739	119480	41979
740	119654	41822
741	119826	41664
742	119973	41498
743	120150	41342
744	120306	41178
745	120465	41016
746	120614	40850
747	120768	40686
748	120912	40519
749	121076	40358
750	121263	40205
751	121418	40042
752	121595	39886
753	121745	39720
754	121888	39553
755	122049	39391
756	122214	39231
757	122387	39073
758	122550	38912
759	122704	38748
760	122861	38585
761	123019	38423
762	123166	38257
763	123324	38095
764	123491	37935
765	123644	37771
766	123810	37611
767	123956	37445
768	124121	37284
769	124285	37124
770	124441	36961
771	124608	36801
772	124758	36636
773	124921	36475
774	125072	36311
775	125217	36145
776	125393	35987
777	125551	35825
778	125720	35666
779	125879	35504
780	126036	35341
781	126195	35179
782	126351	35016
783	126514	34856
784	126684	34697
785	126857	34538
786	127023	34378
787	127192	34219
788	127380	34064
789	127545	33904
790	127695	33740
791	127866	33580
792	128027	33419
793	128213	33264
794	128367	33100
795	128519	32937
796	128690	32778
797	128845	32614
798	129007	32453
799	129162	32290
800	129304	32124
801	129475	31965
802	129667	31811
803	129825	31648
804	129995	31489
805	130151	31326
806	130313	31165
807	130465	31001
808	130629	30840
809	130778	30676
810	130931	30513
811	131108	30355
812	131269	30193
813	131420	30029
814	131591	29870
815	131746	29707
816	131908	29546
817	132066	29383
818	132222	29221
819	132369	29056
820	132546	28898
821	132718	28739
822	132873	28576
823	133027	28413
824	133197	28254
825	133348	28090
826	133514	27929
827	133673	27767
828	133829	27605
829	134000	27445
830	134153	27282
831	134311	27120
832	134484	26961
833	134643	26799
834	134806	26638
835	134974	26478
836	135127	26315
837	135282	26152
838	135438	25989
839	135600	25828
840	135757	25666
841	135906	25502
842	136089	25345
843	136247	25183
844	136409	25021
845	136593	24864
846	136749	24702
847	136900	24538
848	137054	24376
849	137205	24212
850	137357	24049
851	137525	23889
852	137670	23725
853	137823	23562
854	137980	23400
855	138147	23239
856	138308	23078
857	138465	22916
858	138632	22755
859	138784	22592
860	138940	22430
861	139108	22270
862	139258	22107
863	139418	21945
864	139573	21783
865	139729	21621
866	139886	21458
867	140051	21298
868	140200	21135
869	140361	20973
870	140523	20812
871	140669	20648
872	140864	20492
873	141024	20330
874	141194	20170
875	141358	20009
876	141507	19846
877	141663	19684
878	141828	19523
879	141993	19362
880	142174	19204
881	142330	19041
882	142498	18881
883	142654	18719
884	142841	18561
885	143035	18404
886	143189	18241
887	143335	18078
888	143495	17916
889	143653	17754
890	143811	17593
891	143974	17431
892	144151	17272
893	144303	17109
894	144447	16946
895	144597	16783
896	144755	16621
897	144909	16459
898	145070	16298
899	145228	16136
900	145388	15974
901	145556	15814
902	145712	15652
903	145863	15489
904	146028	15329
905	146180	15166
906	146330	15004
907	146496	14843
908	146667	14682
909	146835	14522
910	146987	14359
911	147144	14198
912	147302	14036
913	147448	13873
914	147599	13711
915	147756	13549
916	147928	13389
917	148076	13226
918	148240	13065
