iter	Passed	Remaining
829	37872	7757
830	37918	7711
831	37965	7666
832	38012	7620
833	38053	7574
834	38103	7529
835	38137	7481
836	38174	7434
837	38219	7388
838	38270	7343
839	38310	7297
840	38357	7251
841	38392	7204
842	38427	7156
843	38464	7109
844	38517	7065
845	38552	7017
846	38594	6971
847	38634	6925
848	38678	6879
849	38711	6831
850	38750	6784
851	38788	6737
852	38838	6693
853	38875	6646
854	38912	6599
855	38953	6552
856	38996	6506
857	39038	6460
858	39076	6414
859	39114	6367
860	39150	6320
861	39194	6274
862	39236	6228
863	39277	6182
864	39316	6136
865	39357	6089
866	39397	6043
867	39454	5999
868	39493	5953
869	39534	5907
870	39573	5861
871	39627	5816
872	39663	5769
873	39697	5722
874	39740	5677
875	39773	5630
876	39808	5583
877	39855	5537
878	39891	5491
879	39938	5446
880	39975	5399
881	40017	5353
882	40061	5308
883	40104	5262
884	40138	5215
885	40176	5169
886	40222	5124
887	40260	5077
888	40303	5032
889	40341	4985
890	40375	4939
891	40418	4893
892	40463	4848
893	40513	4803
894	40551	4757
895	40600	4712
896	40638	4666
897	40676	4620
898	40724	4575
899	40760	4528
900	40804	4483
901	40841	4437
902	40883	4391
903	40921	4345
904	40958	4299
905	40993	4253
906	41039	4208
907	41084	4162
908	41127	4117
909	41170	4071
910	41206	4025
911	41248	3980
912	41307	3936
913	41343	3890
914	41387	3844
915	41429	3799
916	41471	3753
917	41517	3708
918	41563	3663
919	41610	3618
920	41646	3572
921	41684	3526
922	41723	3480
923	41761	3434
924	41808	3389
925	41846	3344
926	41882	3298
927	41930	3253
928	41970	3207
929	42014	3162
930	42058	3117
931	42094	3071
932	42143	3026
933	42183	2980
934	42226	2935
935	42261	2889
936	42296	2843
937	42335	2798
938	42368	2752
939	42412	2707
940	42448	2661
941	42487	2615
942	42525	2570
943	42561	2524
944	42600	2479
945	42638	2433
946	42685	2388
947	42734	2344
948	42769	2298
949	42812	2253
950	42851	2207
951	42886	2162
952	42921	2116
953	42965	2071
954	43016	2026
955	43060	1981
956	43093	1936
957	43126	1890
958	43164	1845
959	43202	1800
960	43243	1754
961	43285	1709
962	43324	1664
963	43358	1619
964	43413	1574
965	43452	1529
966	43492	1484
967	43536	1439
968	43576	1394
969	43615	1348
970	43651	1303
971	43696	1258
972	43736	1213
973	43770	1168
974	43818	1123
975	43851	1078
976	43889	1033
977	43925	988
978	43963	943
979	44004	898
980	44046	853
981	44080	807
982	44134	763
983	44184	718
984	44230	673
985	44276	628
986	44312	583
987	44349	538
988	44386	493
989	44428	448
990	44465	403
991	44515	358
992	44549	314
993	44597	269
994	44640	224
995	44674	179
996	44709	134
997	44752	89
998	44792	44
999	44825	0
